annual_income,credit_score,loan_amount,years_in_business,num_employees,previous_loans,debt_to_income_ratio,monthly_revenue,loan_purpose,industry,has_collateral,education_level,geographic_region,loan_to_income,rev_to_loan_ratio,rev_per_employee,credit_tier
104842.5559995794,616.150859829271,14724.994812512648,0.8378009237833801,8,1,0.3093237028814348,2399.9638322329747,equipment,manufacturing,no,high_school,southeast,0.14044864389257425,1.9558285997063491,3199.951776310633,Subprime
38384.40426765825,713.5521704998548,10908.709639781082,2.8400468649620385,7,0,0.209939746928409,10693.474161024384,business_expansion,food,no,bachelors,southeast,0.2841964033993956,11.763232697346279,16040.211241536575,Average
34722.34665866589,630.1220828955538,14138.449244508389,0.0531631209118838,10,3,0.2244453763920821,10008.444311584928,real_estate,retail,yes,high_school,west,0.4071858789697491,8.494660882074733,10918.302885365376,Subprime
48523.35326403919,794.3543068556196,11478.707898621107,0.6479649137544101,7,2,0.2720059318915606,,real_estate,manufacturing,no,high_school,northeast,0.2365604832774707,,,Good
104955.7814408042,714.8357953717989,11590.679017282711,0.9264849044676916,8,1,0.1943654179283391,18506.285456737496,business_expansion,technology,no,phd,southeast,0.11043392615498272,19.15982878402174,24675.047275649995,Average
48080.67966958852,800.2862385297634,78187.24339108197,5.746443019671104,10,1,0.5824028286123832,,real_estate,healthcare,yes,masters,midwest,1.6261675984358008,,,Excellent
50203.3627047705,727.2877112552385,54925.74183113512,4.2600632954790925,8,1,0.4103124684260119,10178.71164472418,business_expansion,technology,no,bachelors,northeast,1.0940649962641211,2.223812290237065,13571.615526298909,Average
60948.73065526738,761.8716076911699,35273.75063117492,8.074185013564891,8,1,0.0694583055547906,14632.270501789466,equipment,manufacturing,no,high_school,northeast,0.5787446309605416,4.977844512551265,19509.694002385957,Good
14744.621450914588,780.1626214325772,44998.67888854793,7.7132706658036705,10,0,0.2454834670042525,3786.438967135467,real_estate,services,no,phd,southeast,3.051870747261867,1.009746702056614,4130.6606914205095,Good
64282.72455656089,794.3271447704976,31616.606072252987,1.995432397277829,13,1,0.6152235865138094,18486.497506454667,real_estate,retail,no,masters,midwest,0.4918367460287472,7.016501694188057,15845.569291246857,Good
51468.12870588274,769.1749802119401,32995.81182204154,0.8730633579354609,13,4,0.0556549240322827,9199.677998830346,business_expansion,food,no,high_school,west,0.6410921214943855,3.3457620796852963,7885.438284711725,Good
64091.454654048845,770.2807537888511,51470.19798572755,0.627425351695685,7,1,0.1827357418732255,5465.227541293108,equipment,retail,yes,bachelors,southeast,0.803074267275551,1.2741884247740582,8197.841311939661,Good
26454.74276855261,633.5339430132719,22931.87497768096,0.7446271310532238,7,1,0.2816400041414072,11401.431992396345,equipment,healthcare,no,bachelors,midwest,0.8668341694886483,5.966244977174816,17102.147988594515,Subprime
10239.06739760968,847.0162305897952,24554.518988561776,3.617417378425582,12,2,0.0634391672895661,13242.751017573117,working_capital,healthcare,no,bachelors,west,2.3981206522672105,6.471843829579067,12224.077862375185,Excellent
131038.75834878854,675.2624368705093,31076.660380844016,0.0792318071315018,9,1,0.1743483244135016,18448.629200908334,business_expansion,services,no,masters,midwest,0.23715624882440872,7.123788325087833,22138.35504109,Average
83641.07749629291,709.8592186294047,945.9116728026268,1.1864005159234872,11,3,0.1817278082968991,16832.93613321581,equipment,manufacturing,yes,bachelors,southwest,0.011309176078383755,213.54555524889093,16832.93613321581,Average
27900.36773321917,622.4482936991581,122001.76165634907,0.528348845174211,9,1,0.2464675275513242,11468.6955033575,working_capital,healthcare,yes,masters,west,4.37276536347285,1.1280521213031178,13762.434604029,Subprime
32276.700283594757,650.3149593747621,20400.456569995175,0.7109418654670905,8,2,0.4090804426833564,8194.17033047508,real_estate,retail,yes,bachelors,midwest,0.6320490133786086,4.81999231848095,10925.56044063344,Subprime
85112.03477709941,801.6276684427924,33686.81035911813,0.9450502272040128,8,0,0.221678859791635,4134.50022432531,business_expansion,healthcare,no,high_school,midwest,0.39579373759474784,1.4728020302759748,5512.66696576708,Excellent
137656.36230649345,635.0336717648826,15660.581920943336,2.770270125729353,13,1,0.0832814006886045,2099.717402990972,business_expansion,technology,no,high_school,midwest,0.11376576903841978,1.6089190658098478,1799.7577739922617,Subprime
56049.99068901777,801.5765237200833,43691.00892129342,1.708449433090256,9,0,0.2897914147204702,16556.164836139094,business_expansion,food,yes,bachelors,southeast,0.779500734673174,4.547250863147163,19867.397803366912,Excellent
43296.60382459315,690.9145124247472,33588.63337876801,7.727461301748036,17,3,0.1333008726866946,12425.971212762171,equipment,healthcare,no,high_school,west,0.7757798628749113,4.439348659030673,8283.980808508113,Average
87638.70445987614,713.9557711685047,6226.550252115528,1.4367808679292755,10,0,0.4191745132352171,13581.706657451432,business_expansion,retail,no,bachelors,southeast,0.07104794953803999,26.17508463982411,14816.407262674289,Average
8326.02542699771,764.9173785923261,12282.768117007983,0.5319703735975905,9,1,0.0523448009049752,32274.592687372944,equipment,technology,no,bachelors,midwest,1.4752258713629478,31.531582174921557,38729.511224847534,Good
12273.033751636382,790.2967403615121,29132.60769998133,0.8219837274381872,9,2,0.4450317904902116,7644.033274616817,business_expansion,services,no,bachelors,southeast,2.3737087575207987,3.148650482542005,9172.83992954018,Good
28235.598694653603,,87978.37607679144,4.639060797645668,9,0,0.4363413640579783,3421.237121738641,real_estate,technology,no,bachelors,west,3.1158672080976357,0.466647002265222,4105.484546086369,
26689.423068491476,772.908366538507,33948.404879017515,1.5768964611262044,5,2,0.0330451293108764,4462.427150787651,business_expansion,services,no,masters,west,1.2719797198547815,1.5773679499436966,8924.854301575302,Good
104710.2616741288,706.8426196905227,16493.312730630932,3.518779015134366,7,1,0.3092827995891645,5121.325994728258,business_expansion,technology,no,bachelors,southwest,0.15751381447028218,3.7261108751596477,7681.988992092387,Average
77236.8819387467,739.7976508924942,22878.055071184503,0.1358637044161677,10,0,0.2494674632704243,35484.63965691796,real_estate,retail,no,phd,southeast,0.296206352413759,18.612407153470354,38710.51598936505,Average
