application_id,annual_income,credit_score,loan_amount,years_in_business,num_employees,previous_loans,debt_to_income_ratio,monthly_revenue,loan_purpose,industry,has_collateral,education_level,geographic_region,default,loan_to_income,rev_to_loan_ratio,rev_per_employee,credit_tier,default_probability,decision_tier
1,71810.3816960771,727.4163229502672,26587.162467655253,0.6447010290356455,7,2,0.0972750068922684,2612.553468102318,business_expansion,services,no,bachelors,west,0,0.3702412080217041,1.1791646308765593,4478.663088175403,Average,0.06,🟢 Low Risk (Auto-Approve)
2,44833.941906467626,695.3502843262218,17919.990075562175,4.968644373853948,11,0,0.3594899590321178,8190.2602039109615,working_capital,retail,no,bachelors,southwest,1,0.3996969553323413,5.484552281140047,8934.829313357412,Average,0.56,🔴 High Risk (Auto-Reject)
3,41468.507531128605,787.2656989444317,42820.14482945421,0.1927814621745975,12,0,0.1413883412590267,21178.92809346033,business_expansion,retail,yes,bachelors,southeast,0,1.032594307796368,5.935223669460982,21178.92809346033,Elite,0.18,🟢 Low Risk (Auto-Approve)
4,41469.06882995402,773.1756837154302,32499.88526656216,5.399122313456756,6,1,0.1842583287718546,11256.967200677103,equipment,services,no,high_school,west,0,0.7837138904620587,4.156433332000326,22513.93440135421,Elite,0.07,🟢 Low Risk (Auto-Approve)
5,139491.43236691953,793.9975503989054,32300.9553268472,0.9644973299156006,9,1,0.2562546445126174,15694.600899426932,working_capital,retail,no,masters,southwest,0,0.23156228865642783,5.83063902870349,20926.134532569242,Elite,0.05,🟢 Low Risk (Auto-Approve)
6,86001.18692892666,667.2266785434964,10626.228472603188,2.0549616896675094,10,4,0.4160161227100087,8755.485249637364,working_capital,technology,yes,masters,west,0,0.12355909089237274,9.887404855498048,10506.582299564838,Average,0.04,🟢 Low Risk (Auto-Approve)
7,33932.34005222697,743.2329959523304,10320.14656919196,1.4392628231887856,6,0,0.3859012320903393,5456.777857190279,working_capital,retail,no,bachelors,west,0,0.30413895868388985,6.3450004171220185,10913.555714380558,Average,0.1,🟢 Low Risk (Auto-Approve)
8,74094.4342029364,766.804311988949,27994.18274561001,2.5361139458306847,10,1,0.223429530609589,15905.703388294649,equipment,food,no,bachelors,southwest,0,0.37781761945758385,6.818146555447037,19086.844065953577,Elite,0.05,🟢 Low Risk (Auto-Approve)
9,59968.807921939406,767.6769454862717,47011.82116376484,4.768758728729994,5,2,0.2588612740207666,,real_estate,services,yes,bachelors,west,0,0.7839378969306761,,,Elite,0.08,🟢 Low Risk (Auto-Approve)
10,6477.448304717562,792.5525525502987,72081.8978611985,13.61808932418505,12,3,0.5610055783960665,21677.18286720441,real_estate,retail,no,masters,southwest,1,11.128131707157099,3.608758955089586,21677.18286720441,Elite,0.94,🔴 High Risk (Auto-Reject)
11,20137.268480631188,752.9770311030104,3961.265110635912,1.096105639176867,6,1,0.1346435207930735,,business_expansion,retail,no,high_school,west,0,0.19671312990865727,,,Elite,0.07,🟢 Low Risk (Auto-Approve)
12,63184.969120444905,652.9761805238873,25500.200250925565,2.420993657369875,7,0,0.0759475178994018,14442.63175811875,business_expansion,food,yes,masters,west,0,0.4035801648065443,6.796479219457676,24758.797299632144,Average,0.06,🟢 Low Risk (Auto-Approve)
13,130955.30602450586,768.6950416314883,50081.726750961694,1.8821207292138813,17,3,0.5248440079668774,,real_estate,manufacturing,yes,masters,midwest,0,0.3824337346177468,,,Elite,0.07,🟢 Low Risk (Auto-Approve)
14,41755.56554877439,805.6487974353577,39964.20887665726,20.51513352108987,8,4,0.1810319812286779,261.10523946130786,real_estate,healthcare,yes,bachelors,west,0,0.9570989723507718,0.07840172398272609,391.6578591919618,Elite,0.16,🟢 Low Risk (Auto-Approve)
15,31740.82317162911,665.2296266278588,31551.92944127091,4.965089270422489,11,0,0.4878008520738249,19341.321820201967,real_estate,manufacturing,no,high_school,southwest,0,0.9940488710914391,7.355995844071424,21099.62380385669,Average,0.13,🟢 Low Risk (Auto-Approve)
16,54420.22624416497,737.7666587317357,49504.7500940914,1.5179314826444372,7,0,0.3409613057731071,2043.047156913011,business_expansion,retail,no,masters,midwest,1,0.9096755656983213,0.4952366356028183,3502.3665547080186,Average,0.54,🔴 High Risk (Auto-Reject)
17,30158.53442154293,671.8523791985914,9710.30527088169,1.943827771270345,6,2,0.1961886162503634,12769.57921135848,working_capital,technology,no,bachelors,midwest,0,0.32197536972968416,15.780652230966176,25539.158422716962,Average,0.08,🟢 Low Risk (Auto-Approve)
18,39532.24143417565,780.5321274463374,40924.41938444758,0.8469160366728532,5,1,0.3442074944095333,8516.356685849973,business_expansion,technology,yes,high_school,west,0,1.0352162665147642,2.497195605151019,20439.256046039933,Elite,0.17,🟢 Low Risk (Auto-Approve)
19,49479.07436820794,774.1038488626945,51827.74072199144,4.222521139968919,9,2,0.2431046029736158,33460.082566560915,equipment,manufacturing,no,phd,northeast,1,1.047467871696739,7.747221569092215,44613.44342208122,Elite,0.75,🔴 High Risk (Auto-Reject)
20,19204.119145316505,,8198.127813201907,5.597092380362648,7,0,0.1764979939549678,32030.487726710428,real_estate,services,yes,bachelors,west,0,0.42689423821874506,46.884588954756126,54909.40753150359,Subprime,0.09,🟢 Low Risk (Auto-Approve)
21,89101.80282639418,771.940567006829,32533.21345314286,10.05609246126728,8,6,0.2034520156080666,10188.270302116884,real_estate,healthcare,yes,masters,midwest,0,0.36512407629428695,3.757982401630595,15282.405453175325,Elite,0.11,🟢 Low Risk (Auto-Approve)
22,16055.443388371204,721.52732750344,43152.375420584,2.502949726839135,9,1,0.0727758064322635,7965.0328155194,business_expansion,retail,no,high_school,midwest,1,2.687709979522511,2.2149509234349183,10620.043754025866,Average,0.91,🔴 High Risk (Auto-Reject)
23,14183.8033150402,705.1428643778852,45895.87067686873,3.3322034192044216,11,0,0.2240684123751793,746.7131322025067,equipment,manufacturing,no,bachelors,west,1,3.2357943534229454,0.1952366836990011,814.5961442209165,Average,0.94,🔴 High Risk (Auto-Reject)
24,58018.51253664405,780.2870592338237,3537.4777828406145,1.772090376669231,9,3,0.2866078955115299,13203.90880220059,business_expansion,healthcare,no,masters,west,0,0.06097153525965304,44.79092600807046,17605.211736267454,Elite,0.01,🟢 Low Risk (Auto-Approve)
25,84400.61423937151,709.1222654602516,14520.511382541954,2.8181293318835032,9,4,0.3850186455518656,3170.557797213174,business_expansion,services,yes,bachelors,southwest,0,0.17204272164844472,2.6202034187516094,4227.410396284232,Average,0.0,🟢 Low Risk (Auto-Approve)
26,56935.06723071211,795.5516588691455,1101.5712868152548,1.2865805905230416,11,2,0.3055841264345566,11775.54317849694,business_expansion,services,yes,high_school,southeast,0,0.019347852569515215,128.2772343771719,12846.047103814844,Elite,0.05,🟢 Low Risk (Auto-Approve)
27,45653.37531253802,803.9847558553629,62831.26149142935,4.014674701449058,15,1,0.4937749508936758,5997.879556344115,business_expansion,services,no,masters,west,0,1.3762676047782536,1.14552140077511,4798.3036450752925,Elite,0.23,🟡 Medium Risk (Manual Review)
